ions,number,hydrogen,lattice type,KPTS,ENCUT,ENMAX,time
Cu,64,0.0,0,5,295.00000000,295.446,587.353
Cu,64,0.0,0,5,300.00000000,295.446,586.939
Cu,64,0.0,0,5,305.00000000,295.446,570.466
Cu,64,0.0,0,5,310.00000000,295.446,655.036
Cu,64,0.0,0,5,315.00000000,295.446,554.371
Cu,64,0.0,0,5,320.00000000,295.446,564.694
Cu,64,0.0,0,5,325.00000000,295.446,585.376
Cu,64,0.0,0,5,330.00000000,295.446,687.394
Cu,64,0.0,0,5,335.00000000,295.446,684.321
Cu,64,0.0,0,5,340.00000000,295.446,678.524
Cu,64,0.0,0,5,345.00000000,295.446,673.346
Cu,64,0.0,0,5,350.00000000,295.446,664.878
Cu,64,0.0,0,5,355.00000000,295.446,1078.213
Cu,64,0.0,0,5,360.00000000,295.446,872.180
Cu,64,0.0,0,5,365.00000000,295.446,673.033
Cu,64,0.0,0,5,370.00000000,295.446,638.654
Cu,64,0.0,0,5,375.00000000,295.446,778.380
Cu,64,0.0,0,5,380.00000000,295.446,802.211
Cu,64,0.0,0,5,385.00000000,295.446,743.973
Cu,64,0.0,0,5,390.00000000,295.446,746.088
Cu,64,0.0,0,5,395.00000000,295.446,747.913
Cu,64,0.0,0,5,400.00000000,295.446,722.307
Cu,64,0.0,0,5,405.00000000,295.446,714.522
Cu,64,0.0,0,5,410.00000000,295.446,714.109
Cu,64,0.0,0,5,415.00000000,295.446,702.181
Cu,64,0.0,0,5,420.00000000,295.446,708.108
Cu,64,0.0,0,5,425.00000000,295.446,698.670
Cu,64,0.0,0,5,430.00000000,295.446,695.587
Cu,64,0.0,0,5,435.00000000,295.446,664.780
Cu,64,0.0,0,5,440.00000000,295.446,727.210
Cu,64,0.0,0,5,445.00000000,295.446,767.767
Cu,64,0.0,0,5,450.00000000,295.446,764.683
Cu,64,0.0148925781719,0,5,380.00000000,295.446,9923.239
Cu,64,0.0148925781719,0,5,380.00000000,295.446,9901.159
Cu,64,0.0148925781719,0,5,380.00000000,295.446,2963.297
Cu,64,0.0148925781719,0,5,380.00000000,295.446,2757.402
Cu,64,0.0148925781719,0,5,380.00000000,295.446,2300.714
Cu,64,0.0148925781719,0,5,380.00000000,295.446,2736.521
Cu,64,0.0,0,2,440.00000000,295.446,270.023
Cu,64,0.0,0,3,440.00000000,295.446,349.304
Cu,64,0.0,0,4,440.00000000,295.446,627.842
Cu,64,0.0,0,5,440.00000000,295.446,779.523
Cu,64,0.0,0,6,440.00000000,295.446,1187.980
Cu,64,0.0,0,7,440.00000000,295.446,1532.488
Cu,64,0.0,0,8,440.00000000,295.446,2232.721
Cu,64,0.0,0,9,440.00000000,295.446,2644.117
Mo,64,0.0,1,6,450.00000000,224.584,1768.714
Mo,64,0.0,1,6,460.00000000,224.584,1756.771
Mo,64,0.0,1,6,470.00000000,224.584,1736.955
Mo,64,0.0,1,6,480.00000000,224.584,1734.832
Mo,64,0.0,1,6,490.00000000,224.584,1714.589
Mo,64,0.0,1,6,500.00000000,224.584,1709.025
Mo,64,0.0,1,6,510.00000000,224.584,1849.316
Mo,64,0.0,1,6,520.00000000,224.584,1893.311
Mo,64,0.021634716198,0,6,450.00000000,224.584,2108.318
Mo,64,0.0149171642102,0,6,450.00000000,224.584,11226.740
Mo,64,0.0197901308232,0,6,450.00000000,224.584,30173.742
Mo,64,0.0,1,2,520.00000000,224.584,425.507
Mo,64,0.0,1,3,520.00000000,224.584,533.603
Mo,64,0.0,1,4,520.00000000,224.584,965.960
Mo,64,0.0,1,5,520.00000000,224.584,1213.528
Mo,64,0.0,1,6,520.00000000,224.584,1866.517
Mo,64,0.0,1,7,520.00000000,224.584,2167.337
Mo,64,0.0,1,8,520.00000000,224.584,3258.903
Mo,64,0.0,1,9,520.00000000,224.584,3943.356
Nb,54,0.0,0,6,290.00000000,293.235,1568.936
Nb,54,0.0,0,6,295.00000000,293.235,1643.158
Nb,54,0.0,0,6,300.00000000,293.235,1620.594
Nb,54,0.0,0,6,305.00000000,293.235,1572.379
Nb,54,0.0,0,6,310.00000000,293.235,1745.799
Nb,54,0.0,0,6,315.00000000,293.235,1691.638
Nb,54,0.0,0,6,320.00000000,293.235,1671.599
Nb,54,0.0,0,6,325.00000000,293.235,1669.119
Nb,54,0.0,0,6,330.00000000,293.235,1596.044
Nb,54,0.0,0,6,335.00000000,293.235,1601.856
Nb,54,0.0,0,6,340.00000000,293.235,1639.260
Nb,54,0.0,0,6,345.00000000,293.235,1671.837
Nb,54,0.0,0,6,350.00000000,293.235,1857.916
Nb,54,0.0,0,6,355.00000000,293.235,1833.088
Nb,54,0.0,0,6,360.00000000,293.235,1827.881
